Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Flagship Founders,https://www.crunchbase.com/organization/flagship-founders,Venture Capital,1,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Flagship Founders invests in maritime technology, logistics, and shipping firms.",1,,,Active,2020-01-01,year,https://flagshipfounders.de,https://www.linkedin.com/company/flagshipfounders,"Financial Services, Logistics, Marine Technology, Venture Capital","Financial Services, Lending and Investments, Science and Engineering, Transportation",2,"Fabian Feldhaus, Malte Cherdron",11-50,Seed,,,Private,"13,013"
Century Games,https://www.crunchbase.com/organization/century-games-9b6c,Venture Capital,1,,"Beijing, Beijing, China",Asia-Pacific (APAC),Century Games is a game developer and publisher.,1,,,Active,2010-08-01,month,http://www.centurygames.com,https://www.linkedin.com/company/century-game,"Casual Games, Gaming, Online Games, Video Games",Gaming,,,1001-5000,"Early Stage Venture, Seed",For Profit,Was Acquired,Private,"13,149"
Jarvis Network,https://www.crunchbase.com/organization/jarvis-network,,1,,"George Town, Midland, Cayman Islands",,Jarvis network is a set of protocols on Ethereum to bring traditional assets on-chain.,1,,,Active,2019-01-01,year,https://jarvis.network,https://www.linkedin.com/company/jarvis-network,"Blockchain, Finance, FinTech","Blockchain and Cryptocurrency, Financial Services, Other",1,Pascal Tallarida,11-50,,Non-profit,,Private,"13,471"
The Company Lab,https://www.crunchbase.com/organization/the-company-lab,Accelerator,1,,"Chattanooga, Tennessee, United States",Southern US,The Company Lab is a nonprofit startup accelerator that supports entrepreneurial growth in southeast Tennessee.,1,,,Active,2010-01-01,year,http://colab.co/,http://www.linkedin.com/company/the-company-lab,Association,Other,2,"Sheldon Grizzle, Stephen Culp",11-50,"Early Stage Venture, Seed",Non-profit,,Private,"14,027"
Manhattan Street Capital,https://www.crunchbase.com/organization/manhattan-street-capital,,1,,"San Diego, California, United States","Greater San Diego Area, West Coast, Western US","Manhattan Street Capital provides a platform to bring together interested investors, businesses and service providers.",1,,,Active,2015-01-01,year,http://www.manhattanstreetcapital.com/,https://www.linkedin.com/company/manhattan-street-capital,"Financial Services, Human Resources, Internet","Administrative Services, Financial Services, Internet Services",,,1-10,,For Profit,,Private,"14,574"
LT Capital,https://www.crunchbase.com/organization/lt-capital,Private Equity Firm,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",LT Capital is Venture Capital Fund.,1,,,Active,,,https://ltcapital.fr,https://www.linkedin.com/company/lt-capital,Venture Capital,"Financial Services, Lending and Investments",,,1-10,Private Equity,,,Private,"14,935"
Autonom,https://www.crunchbase.com/organization/autonom-69b8,,1,,"Piatra Neamt, Neamt, Romania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Autonom is the mobility network that provide clients with a variety of transportation and car rental options.,1,,,Active,2006-03-28,day,https://www.autonom.com/,https://ro.linkedin.com/company/autonom-group,"Car Sharing, Fleet Management, Leasing, Sales","Financial Services, Sales and Marketing, Transportation",1,Marius Stefan,501-1000,,For Profit,,Private,"17,020"
ANYTIME,https://www.crunchbase.com/organization/anytime,,1,1,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","ANYTIME offers business accounts, payment solutions, and expense management tools that make life easier for small businesses.",1,,,Active,2012-06-15,day,http://www.anyti.me,https://www.linkedin.com/company/anytime/,"Banking, Finance, Financial Services, FinTech, Payments","Financial Services, Lending and Investments, Payments",2,"Dupouy Damien, Thierry Peyre",11-50,,For Profit,Was Acquired,Private,"17,320"
Sport Research Center,https://www.crunchbase.com/organization/sport-research-center,,1,,"Birmingham, Birmingham, United Kingdom","Europe, Middle East, and Africa (EMEA)",Sport Research,1,,,Active,,,,,,,,,,,For Profit,,Private,"17,479"
Techstars Corporate Partner,https://www.crunchbase.com/organization/techstars-corporate-partner,Venture Capital,1,,"Boulder, Colorado, United States","Greater Denver Area, Western US",A venture-capital branch of Techstars.,1,,,Active,2019-01-01,year,,,Venture Capital,"Financial Services, Lending and Investments",,,,Venture,,,Private,"18,763"
X-Flow,https://www.crunchbase.com/organization/x-flow,,1,,"Limassol, Limassol, Cyprus","Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",X-Flow is a game company.,1,,,Active,2018-01-01,year,https://xflowgames.com,https://www.linkedin.com/company/x-flow-games,"Android, Gaming, iOS, Mobile Apps","Apps, Gaming, Mobile, Platforms, Software",1,Alexander Malykhin,11-50,,For Profit,,Private,"20,659"
Haymarket,https://www.crunchbase.com/organization/haymarket,,1,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Haymarket is a media and information company that creates award-winning specialist content for international audiences.,1,,1,Closed,1957-01-01,year,http://www.haymarket.com,http://www.linkedin.com/company/haymarket-media-group,"Advertising, Automotive, Consumer Electronics, Content, Marketing, Public Relations, Publishing, Sports","Advertising, Consumer Electronics, Content and Publishing, Hardware, Media and Entertainment, Sales and Marketing, Sports, Transportation",2,"Clive Labovitch, Michael Heseltine",1001-5000,,For Profit,Made Acquisitions,Private,"22,966"
Shared Access,https://www.crunchbase.com/organization/shared-access,,1,,"Lymington, Hampshire, United Kingdom","Europe, Middle East, and Africa (EMEA)","Shared Access is an operator wireless communication connectivity for every commercial, residential, retail or public building.",1,,,Active,2007-01-01,year,https://www.sharedaccess.com/,https://www.linkedin.com/company/sharedaccess/,"Consumer Goods, Satellite Communication, Telecommunications, Wireless","Consumer Goods, Hardware, Mobile",1,Christopher Jackman,11-50,,For Profit,,Private,"23,026"
StartupJobs,https://www.crunchbase.com/organization/startupjobs,,1,,"Praha, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",We are building the best startup job portal in the world. We are StartupJobs.com.,1,,1,Active,2012-06-27,day,https://www.startupjobs.com,https://www.linkedin.com/company/2622160,"Human Resources, Software","Administrative Services, Software",1,Filip Mikschik,11-50,,For Profit,,Private,"23,521"
Fruitz,https://www.crunchbase.com/organization/fruitz,,1,1,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Fruitz is one of the fastest-growing dating apps in Europe.,1,,,Active,2017-01-01,year,https://fruitz.io/,https://www.linkedin.com/company/fruitzapp/,"Dating, Media and Entertainment","Community and Lifestyle, Media and Entertainment",3,"Arnaud Ruols, Fabrice Bascoulergue, Julian Kabab",11-50,,For Profit,Was Acquired,Private,"24,564"
Zühlke Group,https://www.crunchbase.com/organization/zühlke,,1,,"Schlieren, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","Zühlke Group is a strategy consulting and technology company that specializes in software, cybersecurity, AI, and connected devices.",1,,,Active,1968-01-01,year,http://www.zuehlke.com,https://www.linkedin.com/company/zuehlkegroup,"Business Development, Consulting, Innovation Management, InsurTech","Financial Services, Professional Services",2,"Martin Rutishauser, Patrick Griss",1001-5000,,For Profit,,Private,"25,634"
Notino,https://www.crunchbase.com/organization/notino-dbf0,,1,,"Brno, Jihomoravsky kraj, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Notino is a cosmetics company.,1,,,Active,2004-01-01,year,https://www.notino.com/,https://www.linkedin.com/company/notino/,"Beauty, Cosmetics, E-Commerce, Manufacturing","Commerce and Shopping, Consumer Goods, Manufacturing",,,51-100,,For Profit,,Private,"26,873"
Fraunhofer Institute for Computer Graphics Research IGD,https://www.crunchbase.com/organization/fraunhofer-institute-for-computer-graphics-research-igd,,1,,"Darmstadt, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",IGD is the international leading research institution for applied visual computing.,1,,,Active,1988-01-01,year,https://www.igd.fraunhofer.de/,https://www.linkedin.com/company/fraunhofer-igd/,Lending,Financial Services,,,101-250,,For Profit,,Private,"29,814"
Human Company,https://www.crunchbase.com/organization/human-company,,1,,"Firenze, Toscana, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","Human Company is a tourism management company that specializes in outdoor hospitality, accommodation, holiday villages, and activities.",1,,,Active,1982-01-01,year,https://group.humancompany.com/,https://www.linkedin.com/company/humancompany/,"Hospitality, Tourism, Travel Accommodations, Travel Agency",Travel and Tourism,1,Marco Vannucchi,1001-5000,,For Profit,,Private,"30,088"
Profi.ru,https://www.crunchbase.com/organization/profi-ru,,1,1,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)","Profi.ru is an online marketplace that allows users to find freelancers and professionals in categories such as tutors, doctors.",1,,,Active,2005-01-01,year,https://profi.ru/,https://www.linkedin.com/company/profi-ru,"E-Commerce, Internet, Marketplace, Online Portals, Professional Services","Commerce and Shopping, Internet Services, Other",1,Egor Rudi,501-1000,,For Profit,"Made Acquisitions, Was Acquired",Private,"30,469"
Takdoo,https://www.crunchbase.com/organization/takdoo,,1,,"Takab, Azarbayjan-e Bakhtari, Iran","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Takdoo is an online store that supplies sporting goods, cosmetics, mugs, and home and kitchen products.",1,,,Active,2008-01-01,year,https://takdoo.com,https://www.linkedin.com/company/takdoo/,"Consumer Goods, Customer Service, E-Commerce, Fashion, Internet","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Internet Services, Other, Professional Services",4,"James Koster, Magnus Jepson, Mark Forrester, Mike Jolle",101-250,,For Profit,Made Acquisitions,Private,"30,516"
NewChic Capital,https://www.crunchbase.com/organization/newchic-capital,Family Investment Office,1,,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),"A single-family office with roots in property, technology, and businesses in the US and in Asia.",1,,,Active,2011-01-01,year,http://newchiccapital.com,https://www.linkedin.com/company/newchiccapital/,,,1,Jennifer Cheng Lo,1-10,"Early Stage Venture, Seed",,,Private,"31,885"
Numeus,https://www.crunchbase.com/organization/numeus,"Hedge Fund, Micro VC",1,,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)","Numeus offers crypto collective focusing on Research, Venture Capital, Market Making, Asset Management and Algorithmic Trading.",1,,,Active,2021-01-01,year,https://numeus.xyz,https://www.linkedin.com/company/numeus,"Asset Management, Cryptocurrency, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",,,11-50,Early Stage Venture,,,Private,"31,919"
StarApps,https://www.crunchbase.com/organization/starapps-ccc8,,1,,"Ghent, Oost-Vlaanderen, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",StarApps is a tech venture builder turning problem-solving ideas into successful companies.,1,,,Active,2020-11-01,day,https://www.starapps.com,https://www.linkedin.com/company/starappsventures,"Data Mining, Legal Tech, Lifestyle","Community and Lifestyle, Data and Analytics, Information Technology, Professional Services",4,"Lorenz Bogaert, Nicolas Van Eenaeme, Toon Coppens, Vincent Verlee",11-50,,For Profit,,Private,"31,958"
TKM GmbH,https://www.crunchbase.com/organization/tkm-gmbh,,1,,"Remscheid, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The TKM GmbH is an independent company for over two decades above-average success in the growth segment of Indu line knife.,1,,,Active,1908-01-01,day,https://www.tkmgroup.com/de,https://www.linkedin.com/company/tkm-the-knife-manufacturers/,"Advice, Industrial, Machinery Manufacturing, Manufacturing, Product Design","Design, Manufacturing, Media and Entertainment",1,Thomas Meyer,11-50,,For Profit,,Private,"32,185"
SocialPubli.com,https://www.crunchbase.com/organization/socialpubli,,1,,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",SocialPubli.com is a influencer marketing platform that connects adverstires with influencers through social media.,1,,,Active,2015-05-01,day,https://socialpubli.com/,https://www.linkedin.com/company/socialpubli,"Advertising, Advertising Platforms, Social Media, Social Media Marketing","Advertising, Internet Services, Media and Entertainment, Sales and Marketing",1,Ismael El-Qudsi Saugar,11-50,,For Profit,,Private,"36,135"
Open-Bank Foundation,https://www.crunchbase.com/organization/muellners-foundation,"Accelerator, Entrepreneurship Program, Incubator",1,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia","A non for profit, voluntary association",1,,,Active,2019-12-19,day,https://info.openconstitution.us/startups,https://www.linkedin.com/company/openconstitution,"Financial Services, Internet, Non Profit, Open Source","Financial Services, Internet Services, Other, Social Impact, Software",2,"Anka Phoenix, Lara Muellner",51-100,"Convertible Note, Debt, Early Stage Venture, Grant, Non Equity Assistance, Secondary Market, Seed",Non-profit,,Private,"39,370"
Simac,https://www.crunchbase.com/organization/simac,,1,,"Veldhoven, Noord-Brabant, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Simac aims to promote high-quality technology as a publicly traded company in several European countries.,1,,1,Active,1971-01-01,year,https://www.simac.com/,https://www.linkedin.com/company/simac-it-nl/,"Cloud Computing, Information Technology","Information Technology, Internet Services, Software",2,"Mac van Schagen, Steve Ackerman",501-1000,,For Profit,,Private,"40,712"
Broad Creek Capital,https://www.crunchbase.com/organization/broad-creek-capital,Family Investment Office,1,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Broad Creek Capital is an investment firm that largely invests in real estate, venture, and growth-stage equity.",1,,,Active,2015-01-01,year,https://www.broadcreekcap.com/,https://www.linkedin.com/company/broad-creek-capital/,"Asset Management, Financial Services, Real Estate Investment, Wealth Management","Financial Services, Real Estate",,,1-10,"Debt, Early Stage Venture, Private Equity, Seed",,,Private,"40,985"
Fenaco,https://www.crunchbase.com/organization/fenaco,,1,1,"Bern, Bern, Switzerland","Europe, Middle East, and Africa (EMEA)","Fenaco is an agricultural cooperative firm that offers products and services for food production, retail and agriculture sectors.",1,,,Active,1993-01-01,year,https://www.fenaco.com/,https://www.linkedin.com/company/fenaco/,"Agriculture, Farming, Wholesale","Agriculture and Farming, Commerce and Shopping",,,5001-10000,,For Profit,,Private,"41,512"
Gumption Group,https://www.crunchbase.com/organization/gumption-group,,1,,"Kontich, Antwerpen, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","+20 young companies with +480 bright minds in Belgium, the Netherlands and Luxembourg.",1,,1,Active,2012-01-01,year,https://www.gumption.eu/,https://www.linkedin.com/company/gumptiongroup,,,,,501-1000,,For Profit,,Private,"42,626"
Midwich Ignite,https://www.crunchbase.com/organization/midwich-ignite,Venture Capital,1,,,,Midwich Ignite is the deep tech investment arm of Midwich Group focusing on emerging technologies across hardware and software.,1,,,Active,,,https://www.midwichignite.com,https://www.linkedin.com/company/midwich-ignite,,,1,Alex Kemanes,,,,,Private,"43,200"
Nupa,https://www.crunchbase.com/organization/nupa,,1,,"Ankara, Ankara, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Nupa is an advanced technology company owned by Nurus.,1,,,Active,1991-01-01,year,https://www.nupa.com.tr,,"Consulting, Industrial, Information Technology","Information Technology, Manufacturing, Professional Services",,,,,For Profit,,Private,"45,499"
Blissim,https://www.crunchbase.com/organization/blissim,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Blissim is a online retailer of products such as face wash, makeup, perfumes, serums, body, bath, hair, and skin care products.",1,,,Active,2010-01-01,year,https://blissim.fr,https://www.linkedin.com/company/birchbox-fr/,"Beauty, Cosmetics, E-Commerce, Retail","Commerce and Shopping, Consumer Goods",1,Martin Balas,51-100,,For Profit,,Private,"47,576"
Joaquín Cuenca Abela,https://www.crunchbase.com/person/joaqun-cuenca-abela,Individual/Angel,1,,"Málaga, Andalucia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Joaquin Cuenca Abela is Chief Executive Officer at Freepik Company. he attended Paris-Sud University (Paris XI) from 1998 to 2001.,1,,,,,,,http://es.linkedin.com/pub/joaquin-cuenca-abela/a/717/905,,,,,,,,,,"48,998"
lyssna,https://www.crunchbase.com/organization/lyssna,,1,,"Collingwood, Victoria, Australia","Asia-Pacific (APAC), Australasia",lyssna provides the services which are related to the entrepreneurship from the first line.,1,,,Active,2016-01-01,year,https://www.lyssna.be,https://www.linkedin.com/company/lyssna-intrapreneurship,"Consulting, Service Industry","Other, Professional Services",,,1-10,,For Profit,,Private,"50,669"
ao3,https://www.crunchbase.com/organization/ao3,,1,,"Americana, Sao Paulo, Brazil",Latin America,"ao3 provides software solutions for digital admission, invoice, business and account management for entrepreneurs and accountants.",1,,1,Active,,,https://www.ao3tech.com/contador,https://www.linkedin.com/company/ao3tech/,"Accounting, Finance, Software","Financial Services, Professional Services, Software",,,501-1000,,For Profit,,Private,"51,102"
Racine,https://www.crunchbase.com/organization/racine,,1,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Racine founded over 30 years ago, and is now one of the main French law firms. Racine is independent and meet all the needs of businesses.",1,,1,Active,1981-01-01,year,http://www.racine.eu,https://www.linkedin.com/company/racine,Legal,Professional Services,,,101-250,,For Profit,,Private,"51,939"
Nanotech Ventures,https://www.crunchbase.com/organization/nanotech-ventures,"Private Equity Firm, Venture Capital",1,,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Nanotech Ventures focuses on small to medium size enterprises (SME) that provide distinct customer benefits.,1,,1,Active,,,https://www.nanotechventures.nl/,https://www.linkedin.com/company/nanotech-ventures/?trk=ppro_cprof,,,,,1-10,"Private Equity, Venture",,,Private,"52,028"
Day Ristoservice,https://www.crunchbase.com/organization/day-ristoservice,,1,,"Bologna, Emilia-Romagna, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)","Day Ristoservice SpA offers meal vouchers, welfare platforms, and gift vouchers to enhance employee well-being and reduce costs.",1,,1,Active,1987-01-01,year,https://www.day.it,https://www.linkedin.com/company/up-day-italia,"E-Commerce, Gift, Ticketing","Commerce and Shopping, Events, Media and Entertainment",,,51-100,,For Profit,,Private,"53,308"
Agro Care,https://www.crunchbase.com/organization/agro-care,,1,,"Maasdijk, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Agro Care is an innovative company that focuses on the sustainable cultivation of high-quality and tasty tomatoes.,1,,,Active,1997-01-01,year,https://www.agrocare.nl,https://www.linkedin.com/company/agro-care/,"Agriculture, Food Processing","Agriculture and Farming, Food and Beverage",1,Kees Veen,51-100,,For Profit,,Private,"53,443"
SGAE,https://www.crunchbase.com/organization/sgae,Angel Group,1,,"Barentin, Haute-Normandie, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","We provide a top-of-range service, with a great responsiveness and qualitative products at competitive price.",1,,1,Active,1947-01-01,year,https://www.sgae.fr/,https://www.linkedin.com/company/sgae-ship-supply,,,,,11-50,,For Profit,,Private,"54,183"
Evergreen Garden Care,https://www.crunchbase.com/organization/evergreen-garden-care,,1,,"Baulkham Hills, New South Wales, Australia","Asia-Pacific (APAC), Australasia",Evergreen Garden Care is the garden care company outside North America.,1,,1,Active,2017-01-01,year,https://www.scottsaustralia.com.au/contact-us/,https://www.linkedin.com/company/scotts-australia,"Consumer Goods, Health Care","Consumer Goods, Health Care",,,,,For Profit,Was Acquired,Private,"54,272"
Harvest House Cooperative,https://www.crunchbase.com/organization/harvest-house-cooperative,,1,,"Maasdijk, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Harvest House Cooperative is focused on the growth of high-quality vegetables.,1,,,Active,2013-01-01,year,https://www.harvesthouse.nl/,https://www.linkedin.com/company/harvesthouse/,,,,,101-250,,For Profit,,Private,"54,401"
MetraLabs,https://www.crunchbase.com/organization/metralabs,,1,,"Ilmenau, Thuringen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",MetraLabs specializes in developing mobile robotic platforms for the industrial and the commercial market.,1,,,Active,2001-01-01,year,https://www.metralabs.com/en/,https://www.linkedin.com/company/metralabs/,"Industrial Automation, Mobile, Robotics","Hardware, Manufacturing, Mobile, Science and Engineering, Software",1,Johannes Trabert,11-50,,For Profit,,Private,"55,041"
BadenCampus,https://www.crunchbase.com/organization/baden-campus,,1,,"Breisach, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","BadenCampus brings together start-ups, medium-sized businesses, municipalities, talents, and research institutions.",1,,1,Active,2017-01-01,year,https://badencampus.de,https://www.linkedin.com/company/badencampus,,,,,11-50,,For Profit,,Private,"56,027"
M4Capital,https://www.crunchbase.com/organization/m4capital,"Family Investment Office, Private Equity Firm, Venture Capital",1,,"München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",M4Capital is a family office focused on venture capital investments.,1,,,Active,2015-01-01,year,https://www.m4capital.de/,https://www.linkedin.com/company/m4cap/,"Funding Platform, Venture Capital","Financial Services, Lending and Investments",,,1-10,Private Equity,,,Private,"56,133"
Korek Telecom,https://www.crunchbase.com/organization/korek-telecom,,1,,"Erbil, Arbil, Iraq","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Korek Telecom operates as a mobile operator in Iraq, offering a comprehensive range of wireless communications services.",1,,1,Active,2000-01-01,year,https://www.korektel.com/,https://www.linkedin.com/company/korek-telecom/,"Mobile, Telecommunications, Wireless","Hardware, Mobile",1,Sirwan Barzani,1001-5000,,For Profit,,Private,"57,212"
Ørsted Ventures,https://www.crunchbase.com/organization/ørsted-ventures,Corporate Venture Capital,1,,,,"Ørsted Ventures is an early stage, patient capital fund designed to help the next generation of climate entrepreneurs.",1,,,Active,,,,,,,,,,Early Stage Venture,,,Private,"57,859"
real PACE,https://www.crunchbase.com/organization/real-pace,,1,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",real PACE is a corporate portfolio builder investing in companies across the construction and real estate industry.,1,,,Active,2020-01-01,year,https://realpace.de/en/,https://www.linkedin.com/company/realpace/,"Construction, Impact Investing, Real Estate","Financial Services, Lending and Investments, Real Estate",,,1-10,,,,Private,"58,194"
